Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
101;0;2.a;1;F3;0;-9.04;24.64;93.58;0
101;0;2.a;1;F4;0;-13.13;18.69;97.95;0
101;0;2.a;1;F5;0;-8.11;12.1;103.19;0
101;0;2.a;1;1;15;4.53;10.48;103.8;0.964
101;0;2.a;1;p;0;12.58;11.93;107.38;0.327
101;0;2.a;1;F1;0;16.19;11.47;113.74;0
101;0;2.a;1;F2;0;23.14;13.68;108.73;0
101;0;2.a;1;F3;0;24.46;16.35;102.78;0
101;0;2.a;1;F4;0;14.22;22.08;100.7;0
101;0;2.a;1;F5;0;8.93;20.7;105.76;0
101;0;2.a;1;1;16;5.75;11.95;112.76;0.915
101;0;2.a;1;p;0;0.6;17.2;116.07;0.371
101;0;2.a;1;F1;0;3.16;22.98;118.03;0
101;0;2.a;1;F2;0;0.77;27.05;111.04;0
101;0;2.a;1;F3;0;-5.42;24.37;111.06;0
101;0;2.a;1;F4;0;-9.41;18.93;114.68;0
101;0;2.a;1;F5;0;-7.73;13.89;118.9;0
101;0;2.a;1;1;17;8.21;13.96;122.04;0.836
101;0;2.a;1;p;0;13.39;19.1;125.23;0.346
101;0;2.a;1;F1;0;15.9;16.33;130.96;0
101;0;2.a;1;F2;0;18.51;25.07;129.88;0
101;0;2.a;1;F3;0;22.4;25.39;120.94;0
101;0;2.a;1;F4;0;13.05;28.8;119.27;0
101;0;2.a;1;F5;0;7.48;25.61;121.6;0
101;0;2.a;1;1;18;8.15;16.47;129.63;0.873
101;0;2.a;1;p;0;1.87;20.85;134.06;0.332
101;0;2.a;1;F1;0;4.33;28.83;137.08;0
101;0;2.a;1;F2;0;0.14;30.99;128.34;0
101;0;2.a;1;F3;0;-0.97;26.5;127.4;0
101;0;2.a;1;F4;0;-8.62;21.39;131.85;0
101;0;2.a;1;F5;0;-2.79;17.35;136.68;0
101;0;2.a;1;1;19;6.56;20.5;138.19;0.938
101;0;2.a;1;p;0;11.96;24.39;143.8;0.354
101;0;2.a;1;F1;0;16.35;26.02;150.49;0
101;0;2.a;1;F2;0;20.97;30.04;141.75;0
101;0;2.a;1;F3;0;19.06;31.7;135.1;0
101;0;2.a;1;F4;0;14.59;35.63;140.11;0
101;0;2.a;1;F5;0;6.33;30.81;141.6;0
101;0;2.a;1;1;20;3.94;22.69;144.96;0.904
101;0;2.a;1;p;0;-0.16;30.52;147.03;0.473
101;0;2.a;1;F1;0;7.28;35.65;150.35;0
101;0;2.a;1;F2;0;0.78;41.48;144.06;0
101;0;2.a;1;F3;0;-7.64;34.8;139.33;0
101;0;2.a;1;F4;0;-11.66;31.7;148.25;0
101;0;2.a;1;F5;0;-7.85;27.56;152.57;0
101;0;2.a;1;1;21;5.22;25.44;152.5;0.896
101;0;2.a;1;p;0;9.59;27.09;158.75;0.562
101;0;2.a;1;F1;0;9.79;23.29;164.95;0
101;0;2.a;1;F2;0;19.33;26.57;163.67;0
101;0;2.a;1;F3;0;21.4;21.31;153.77;0
101;0;2.a;1;F4;0;17.95;34;154.12;0
101;0;2.a;1;F5;0;9.96;33.46;161.31;0
101;0;2.a;1;1;22;2.54;28.58;160.76;0.853
101;0;2.a;1;p;0;-1.08;37.46;161.72;0.493
101;0;2.a;1;F1;0;11.69;36.34;164.94;0
101;0;2.a;1;F2;0;10.99;45.05;161.04;0
101;0;2.a;1;F3;0;5.74;45.02;154.09;0
101;0;2.a;1;F4;0;-5.38;42.39;156.95;0
101;0;2.a;1;F5;0;-4.46;40.86;165.08;0
101;0;2.a;1;1;23;-2;31.19;166;0.751
101;0;2.a;1;p;0;-0.38;29.53;170.52;0.492
101;0;2.a;1;F1;0;5.61;25.21;174.29;0
101;0;2.a;1;F2;0;3.21;33.06;177.36;0
101;0;2.a;1;F3;0;6.96;28.24;177.93;0
101;0;2.a;1;F4;0;9.99;35.65;168.53;0
101;0;2.a;1;F5;0;-1.4;41.22;169.96;0
101;0;2.a;1;1;24;-5.04;35.65;171.19;0.802
101;0;2.a;1;p;0;-10.47;35.58;173.2;0.487
101;0;2.a;1;F1;0;-14.85;39.77;178.93;0
101;0;2.a;1;F2;0;-16.52;44.45;170.79;0
101;0;2.a;1;F3;0;-16.98;34.2;162.46;0
101;0;2.a;1;F4;0;-14.98;25.61;171.07;0
101;0;2.a;1;F5;0;-16.22;31.74;178.45;0
101;0;2.a;1;2;0;1.31;-9.27;49.83;2.186
101;0;2.a;1;2;1;2.38;-10.13;49.74;1.97
101;0;2.a;1;2;2;0.5;-9.85;50.02;1.723
101;0;2.a;1;p;0;3.78;-11.72;46.36;0.145
101;0;2.a;1;F1;0;1.49;-14.13;46.24;0
101;0;2.a;1;F2;0;1.7;-13.13;43.58;0
101;0;2.a;1;F3;0;0.53;-10.96;43.55;0
101;0;2.a;1;F4;0;0.49;-9.28;43.89;0
101;0;2.a;1;F5;0;4.13;-9.46;45.57;0
101;0;2.a;1;2;3;0.85;-11.27;53.29;1.008
101;0;2.a;1;p;0;5.26;-11.88;53.04;0.217
101;0;2.a;1;F1;0;0.15;-11.33;51.88;0
101;0;2.a;1;F2;0;3.53;-15.7;50.01;0
101;0;2.a;1;F3;0;2.86;-15.6;47.92;0
101;0;2.a;1;F4;0;3.87;-10.96;47.4;0
101;0;2.a;1;F5;0;5.8;-10.98;48.49;0
101;0;2.a;1;2;4;-1.61;-12.46;55.54;1.188
101;0;2.a;1;p;0;-5.01;-18.04;53.02;0.246
101;0;2.a;1;F1;0;-10.38;-18.62;53.79;0
101;0;2.a;1;F2;0;-10.44;-17.41;49.68;0
101;0;2.a;1;F3;0;-5.36;-13.5;46.41;0
101;0;2.a;1;F4;0;-4.25;-14.59;44.87;0
101;0;2.a;1;F5;0;-2.95;-17.32;46.96;0
101;0;2.a;1;2;5;-2.42;-14.24;58.3;1.214
101;0;2.a;1;p;0;-1.93;-18.12;62.89;0.3
101;0;2.a;1;F1;0;-6.32;-21.23;62.3;0
101;0;2.a;1;F2;0;-4.01;-23.36;57.03;0
101;0;2.a;1;F3;0;0.44;-23.89;53.81;0
101;0;2.a;1;F4;0;2.8;-23.6;57.27;0
101;0;2.a;1;F5;0;3.15;-23.73;65.07;0
101;0;2.a;1;2;6;-5.25;-16.99;61.99;1.017
101;0;2.a;1;p;0;-8.85;-23.09;57.08;0.328
101;0;2.a;1;F1;0;-18.45;-22.07;57.63;0
101;0;2.a;1;F2;0;-14.02;-19.03;50.46;0
101;0;2.a;1;F3;0;-8.77;-20.5;47.74;0
101;0;2.a;1;F4;0;-4;-24.81;51.91;0
101;0;2.a;1;F5;0;-5.81;-28.08;58.59;0
101;0;2.a;1;2;7;-9.92;-17.15;65.78;0.998
101;0;2.a;1;p;0;-4.22;-21.05;73.05;0.33
101;0;2.a;1;F1;0;-8.86;-25.45;70.57;0
101;0;2.a;1;F2;0;-3.35;-28.05;74.91;0
101;0;2.a;1;F3;0;3.01;-22.57;73.3;0
101;0;2.a;1;F4;0;-0.3;-13.17;76.93;0
101;0;2.a;1;F5;0;-5.28;-16.39;81.26;0
101;0;2.a;1;2;8;-12.26;-21.06;69.32;0.902
101;0;2.a;1;p;0;-17.25;-24.85;67.95;0.363
101;0;2.a;1;F1;0;-23.14;-26.48;69.86;0
101;0;2.a;1;F2;0;-22.79;-24.04;62.2;0
101;0;2.a;1;F3;0;-17.94;-27.06;56.99;0
101;0;2.a;1;F4;0;-12.15;-30.85;59.96;0
101;0;2.a;1;F5;0;-11.9;-31.59;69.13;0
101;0;2.a;1;2;9;-10.75;-24.21;74.27;0.808
101;0;2.a;1;p;0;-7.81;-30.61;75.44;0.383
101;0;2.a;1;F1;0;-15.03;-29.77;74.93;0
101;0;2.a;1;F2;0;-13.72;-35.57;68.88;0
101;0;2.a;1;F3;0;-6.71;-34.93;65.48;0
101;0;2.a;1;F4;0;-1.65;-35.63;71;0
101;0;2.a;1;F5;0;-3.28;-35.49;78.22;0
101;0;2.a;1;2;10;-12.57;-26.64;80.11;0.793
101;0;2.a;1;p;0;-18.98;-26.25;83.82;0.282
101;0;2.a;1;F1;0;-22.41;-22.33;84.85;0
101;0;2.a;1;F2;0;-26.33;-26.04;81.25;0
101;0;2.a;1;F3;0;-25.81;-30.16;79.17;0
101;0;2.a;1;F4;0;-19.81;-34.39;78.91;0
101;0;2.a;1;F5;0;-18.23;-33.47;85.63;0
101;0;2.a;1;2;11;-10.73;-29.6;85.58;0.865
101;0;2.a;1;p;0;-7.89;-35.85;89.79;0.327
101;0;2.a;1;F1;0;-13.1;-40.73;85.49;0
101;0;2.a;1;F2;0;-7.2;-41.29;80.51;0
101;0;2.a;1;F3;0;-1.93;-43.87;83.66;0
101;0;2.a;1;F4;0;-5.54;-43.24;93.69;0
101;0;2.a;1;F5;0;-5.63;-37.05;94.27;0
101;0;2.a;1;2;12;-13.97;-31.75;94.91;0.85
101;0;2.a;1;p;0;-19.88;-34.1;96.78;0.295
101;0;2.a;1;F1;0;-23.93;-29.73;99.39;0
101;0;2.a;1;F2;0;-27.24;-34.22;93.35;0
101;0;2.a;1;F3;0;-23.78;-35.41;85.96;0
101;0;2.a;1;F4;0;-21.81;-39.8;89.34;0
101;0;2.a;1;F5;0;-22.37;-40.03;97.14;0
101;0;2.a;1;2;13;-13.48;-34.9;101.21;0.848
101;0;2.a;1;p;0;-11.91;-39.37;105.89;0.292
101;0;2.a;1;F1;0;-15.3;-44.08;102.11;0
101;0;2.a;1;F2;0;-11.51;-48.9;103.85;0
101;0;2.a;1;F3;0;-5.08;-47.97;105.69;0
101;0;2.a;1;F4;0;-4.15;-41.75;107.2;0
101;0;2.a;1;F5;0;-10.33;-40.73;110.93;0
101;0;2.a;1;2;14;-16.81;-36.24;106.13;0.755
101;0;2.a;1;p;0;-23.41;-34.25;108.91;0.31
101;0;2.a;1;F1;0;-27.99;-27.77;113.03;0
101;0;2.a;1;F2;0;-29.87;-25.3;107.02;0
101;0;2.a;1;F3;0;-32.03;-30.66;100.68;0
101;0;2.a;1;F4;0;-34.54;-36.83;106.43;0
101;0;2.a;1;F5;0;-28.89;-39.83;107.45;0
101;0;2.a;1;2;15;-23.38;-36.64;112.3;0.789
101;0;2.a;1;p;0;-25.06;-42.8;114.57;0.398
101;0;2.a;1;F1;0;-25.41;-47.11;114.22;0
101;0;2.a;1;F2;0;-25.64;-49.44;109.24;0
101;0;2.a;1;F3;0;-20.59;-49.87;105.75;0
101;0;2.a;1;F4;0;-17.1;-51.74;111.08;0
101;0;2.a;1;F5;0;-15.9;-49.54;117.94;0
101;0;2.a;1;2;16;-24.15;-38;118.19;0.765
101;0;2.a;1;p;0;-26.62;-35.63;122.06;0.388
101;0;2.a;1;F1;0;-31.48;-31.87;126.23;0
101;0;2.a;1;F2;0;-32.9;-26.68;119.93;0
101;0;2.a;1;F3;0;-35.05;-29.32;115.69;0
101;0;2.a;1;F4;0;-37.67;-34.08;117.41;0
101;0;2.a;1;F5;0;-34.22;-40.06;121.54;0
101;0;2.a;1;2;17;-22.36;-41.16;124.18;0.792
101;0;2.a;1;p;0;-17.29;-46.26;128.12;0.455
101;0;2.a;1;F1;0;-21.67;-53.53;128.29;0
101;0;2.a;1;F2;0;-14;-54.62;124.45;0
101;0;2.a;1;F3;0;-9.46;-51.79;128.12;0
101;0;2.a;1;F4;0;-9.3;-42.34;127;0
101;0;2.a;1;F5;0;-15.57;-41.29;132.61;0
101;0;2.a;1;2;18;-24.91;-43.34;128.66;0.807
101;0;2.a;1;p;0;-30.39;-44.55;132;0.367
101;0;2.a;1;F1;0;-33.56;-39.67;135.9;0
101;0;2.a;1;F2;0;-36.39;-38.13;129.1;0
101;0;2.a;1;F3;0;-37.13;-44.52;125.5;0
101;0;2.a;1;F4;0;-36.88;-51.26;130.61;0
101;0;2.a;1;F5;0;-26.48;-52.36;133.53;0
101;0;2.a;1;2;19;-25.68;-46.84;134.78;0.757
101;0;2.a;1;p;0;-21.08;-46.45;141.97;0.399
101;0;2.a;1;F1;0;-16.7;-55.98;142.99;0
101;0;2.a;1;F2;0;-6.82;-54.31;143.91;0
101;0;2.a;1;F3;0;-5.02;-48.88;140.98;0
101;0;2.a;1;F4;0;-8.56;-39.19;140.56;0
101;0;2.a;1;F5;0;-18.9;-38.52;144.62;0
101;0;2.a;1;2;20;-23.24;-50.8;139.45;0.833
101;0;2.a;1;p;0;-26.35;-49.33;145.22;0.454
101;0;2.a;1;F1;0;-22.67;-47.19;147.85;0
101;0;2.a;1;F2;0;-30.76;-41.54;148.25;0
101;0;2.a;1;F3;0;-33.42;-40.58;139.23;0
101;0;2.a;1;F4;0;-39.77;-48.65;139.26;0
101;0;2.a;1;F5;0;-38.58;-49.6;149.17;0
101;0;2.a;1;2;21;-27.85;-53.91;145.58;0.811
101;0;2.a;1;p;0;-32.83;-59.35;147.09;0.442
101;0;2.a;1;F1;0;-40.22;-61.26;147.7;0
101;0;2.a;1;F2;0;-37.76;-64.15;138.76;0
101;0;2.a;1;F3;0;-31.31;-65.13;134.12;0
101;0;2.a;1;F4;0;-27.57;-68.42;144.17;0
101;0;2.a;1;F5;0;-29.37;-63.46;152.13;0
101;0;2.a;1;2;22;-34.45;-55.57;151.79;0.755
101;0;2.a;1;p;0;-32.56;-51.99;159.4;0.405
101;0;2.a;1;F1;0;-25.15;-52.11;165.76;0
101;0;2.a;1;F2;0;-20.3;-48.19;159.5;0
101;0;2.a;1;F3;0;-30.28;-43.15;153.95;0
101;0;2.a;1;F4;0;-28.39;-47.29;159.91;0
101;0;2.a;1;F5;0;-32.35;-56.03;162.03;0
101;0;2.a;1;2;23;-29.17;-60.68;156.92;0.724
101;0;2.a;1;p;0;-27.56;-66.56;160.29;0.534
101;0;2.a;1;F1;0;-28.55;-69.83;163.16;0
101;0;2.a;1;F2;0;-35.42;-75.72;155.76;0
101;0;2.a;1;F3;0;-27.17;-79.19;155.83;0
101;0;2.a;1;F4;0;-20.03;-74.73;154.98;0
101;0;2.a;1;F5;0;-32.35;-70.07;163.46;0
101;0;2.a;1;2;24;-35.65;-62.63;161.78;0.663
101;0;2.a;1;p;0;-43.39;-57.01;166.65;0.541
101;0;2.a;1;F1;0;-36.16;-51.83;169.74;0
101;0;2.a;1;F2;0;-44.59;-51.2;164.26;0
101;0;2.a;1;F3;0;-50.06;-58.32;160.75;0
101;0;2.a;1;F4;0;-49.19;-64.73;168.81;0
101;0;2.a;1;F5;0;-39.02;-66.7;168.67;0
